            JDUT ,            Calendar Date (UT ),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2460318.487327361, A.D. 2024-Jan-08 23:41:45.0840,  1.257661982239361E+05,  5.146950595458887E+05,  2.884952948450870E+04, -1.189531489998651E+00,  1.966184562180832E+00,  1.925251081647402E-01,  1.769966765841847E+00,  5.306226873100376E+05,  1.635695017733884E+00,
2460318.491928125, A.D. 2024-Jan-08 23:48:22.5900,  1.252930719836897E+05,  5.154751264855791E+05,  2.892602515903927E+04, -1.190938878523393E+00,  1.958630472764700E+00,  1.923527623931920E-01,  1.772131813766177E+00,  5.312717523489605E+05,  1.629999895660701E+00,
2460318.496528889, A.D. 2024-Jan-08 23:55:00.0960,  1.248193899243754E+05,  5.162522014697889E+05,  2.900245207005847E+04, -1.192328092460652E+00,  1.951130759944036E+00,  1.921791421183353E-01,  1.774289342443869E+00,  5.319185631744512E+05,  1.624353070679880E+00,
2460318.501129653, A.D. 2024-Jan-09 00:01:37.6020,  1.243451592019757E+05,  5.170263059399634E+05,  2.907880971853837E+04, -1.193699477753573E+00,  1.943684549833010E+00,  1.920042858159429E-01,  1.776439415350426E+00,  5.325631388159870E+05,  1.618753692043294E+00,
2460318.505730417, A.D. 2024-Jan-09 00:08:15.1080,  1.238703868366018E+05,  5.177974609938231E+05,  2.915509762053483E+04, -1.195053370974355E+00,  1.936290988508266E+00,  1.918282307112987E-01,  1.778582094845822E+00,  5.332054979686182E+05,  1.613200929682105E+00,
2460318.510331180, A.D. 2024-Jan-09 00:14:52.6140,  1.233950797159544E+05,  5.185656873933263E+05,  2.923131530673287E+04, -1.196390099630756E+00,  1.928949241429177E+00,  1.916510128242911E-01,  1.780717442201827E+00,  5.338456590011587E+05,  1.607693973579917E+00,
2460318.514931945, A.D. 2024-Jan-09 00:21:30.1200,  1.229192445993902E+05,  5.193310055712738E+05,  2.930746232189305E+04, -1.197709982460211E+00,  1.921658492887365E+00,  1.914726670131626E-01,  1.782845517625374E+00,  5.344836399631932E+05,  1.602232033174578E+00,
2460318.519532708, A.D. 2024-Jan-09 00:28:07.6260,  1.224428881204645E+05,  5.200934356400222E+05,  2.938353822454062E+04, -1.199013329718801E+00,  1.914417945450740E+00,  1.912932270163351E-01,  1.784966380287640E+00,  5.351194585937944E+05,  1.596814336761857E+00,
2460318.524133472, A.D. 2024-Jan-09 00:34:45.1320,  1.219660167908089E+05,  5.208529973977131E+05,  2.945954258643882E+04, -1.200300443458231E+00,  1.907226819444360E+00,  1.911127254935723E-01,  1.787080088346077E+00,  5.357531323281276E+05,  1.591440130932082E+00,
2460318.528734236, A.D. 2024-Jan-09 00:41:22.6380,  1.214886370032165E+05,  5.216097103354903E+05,  2.953547499218700E+04, -1.201571617798077E+00,  1.900084352433283E+00,  1.909311940659022E-01,  1.789186698969061E+00,  5.363846783048408E+05,  1.586108680012920E+00,
2460318.533335000, A.D. 2024-Jan-09 00:48:00.1440,  1.210107550347986E+05,  5.223635936443368E+05,  2.961133503880608E+04, -1.202827139192065E+00,  1.892989798718916E+00,  1.907486633548170E-01,  1.791286268359364E+00,  5.370141133731015E+05,  1.580819265526271E+00,
2460318.537935764, A.D. 2024-Jan-09 00:54:37.6500,  1.205323770500780E+05,  5.231146662217742E+05,  2.968712233533178E+04, -1.204067286690026E+00,  1.885942428844900E+00,  1.905651630209119E-01,  1.793378851777150E+00,  5.376414540994894E+05,  1.575571185655630E+00,
2460318.542536528, A.D. 2024-Jan-09 01:01:15.1560,  1.200535091040308E+05,  5.238629466784417E+05,  2.976283650241475E+04, -1.205292332196697E+00,  1.878941529110784E+00,  1.903807218021701E-01,  1.795464503562532E+00,  5.382667167747612E+05,  1.570363754721982E+00,
