            JDUT ,            Calendar Date (UT ),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2460320.693668750, A.D. 2024-Jan-11 04:38:52.9800, -1.759147014852906E+04,  3.429566273046738E+05,  2.369978926438755E+04, -2.318447136156631E-01,  5.410290536874403E-01,  9.101869556774803E-02,  1.148208765427632E+00,  3.442243280846952E+05,  5.571515350362890E-01,
2460320.704205555, A.D. 2024-Jan-11 04:54:03.3600, -1.780247451608405E+04,  3.434478023512207E+05,  2.378255550370667E+04, -2.317073961393347E-01,  5.380274636557523E-01,  9.080923148346290E-02,  1.149896270199559E+00,  3.447302292881579E+05,  5.542565588015755E-01,
2460320.714742361, A.D. 2024-Jan-11 05:09:13.7400, -1.801335338040027E+04,  3.439362489350316E+05,  2.386513113623569E+04, -2.315689991756294E-01,  5.350349209519401E-01,  9.059995420899999E-02,  1.151574996699268E+00,  3.452334988318152E+05,  5.513700681069320E-01,
2460320.725279167, A.D. 2024-Jan-11 05:24:24.1200, -1.822410576070908E+04,  3.444219752533084E+05,  2.394751633476748E+04, -2.314295275723051E-01,  5.320513389079876E-01,  9.039086813454683E-02,  1.153244970572305E+00,  3.457341444040089E+05,  5.484919818594931E-01,
2460320.735815972, A.D. 2024-Jan-11 05:39:34.5000, -1.843473068499266E+04,  3.449049894254784E+05,  2.402971126995474E+04, -2.312889941120532E-01,  5.290766345265873E-01,  9.018196800809547E-02,  1.154906217220955E+00,  3.462321736201519E+05,  5.456222223119082E-01,
2460320.746352778, A.D. 2024-Jan-11 05:54:44.8800, -1.864522718984446E+04,  3.453852994946684E+05,  2.411171611080463E+04, -2.311474068700867E-01,  5.261107218201100E-01,  8.997325159581454E-02,  1.156558761809050E+00,  3.467275940241716E+05,  5.427607086430968E-01,
2460320.756889584, A.D. 2024-Jan-11 06:09:55.2600, -1.885559432029146E+04,  3.458629134277824E+05,  2.419353102410569E+04, -2.310047740851464E-01,  5.231535205591158E-01,  8.976471988170689E-02,  1.158202629261897E+00,  3.472204130884869E+05,  5.399073659425969E-01,
2460320.767426389, A.D. 2024-Jan-11 06:25:05.6400, -1.906583112968002E+04,  3.463378391170814E+05,  2.427515617494505E+04, -2.308611080374685E-01,  5.202049460309655E-01,  8.955636482070484E-02,  1.159837844271456E+00,  3.477106382155610E+05,  5.370621143703662E-01,
2460320.777963195, A.D. 2024-Jan-11 06:40:16.0200, -1.927593667940283E+04,  3.468100843803891E+05,  2.435659172638616E+04, -2.307164136556860E-01,  5.172649197556389E-01,  8.934819076609082E-02,  1.161464431296735E+00,  3.481982767380201E+05,  5.342248807047697E-01,
2460320.788500000, A.D. 2024-Jan-11 06:55:26.4000, -1.948591003902540E+04,  3.472796569624062E+05,  2.443783783956898E+04, -2.305707028767768E-01,  5.143333604961005E-01,  8.914019103903506E-02,  1.163082414568038E+00,  3.486833359199270E+05,  5.313955885389650E-01,
2460320.799036806, A.D. 2024-Jan-11 07:10:36.7800, -1.969575028573120E+04,  3.477465645351589E+05,  2.451889467385923E+04, -2.304239819389793E-01,  5.114101879989472E-01,  8.893236562431561E-02,  1.164691818088234E+00,  3.491658229571604E+05,  5.285741625448583E-01,
2460320.809573611, A.D. 2024-Jan-11 07:25:47.1600, -1.990545650468289E+04,  3.482108146990215E+05,  2.459976238655781E+04, -2.302762599257056E-01,  5.084953261790175E-01,  8.872471316570321E-02,  1.166292665635995E+00,  3.496457449783870E+05,  5.257605315589000E-01,
2460320.820110417, A.D. 2024-Jan-11 07:40:57.5400, -2.011502778837437E+04,  3.486724149833486E+05,  2.468044113324520E+04, -2.301275463678257E-01,  5.055886948834108E-01,  8.851722840531312E-02,  1.167884980767700E+00,  3.501231090456314E+05,  5.229546200688219E-01,
2460320.830647222, A.D. 2024-Jan-11 07:56:07.9200, -2.032446323686761E+04,  3.491313728472206E+05,  2.476093106749286E+04, -2.299778467249949E-01,  5.026902202353701E-01,  8.830991385376122E-02,  1.169468786819740E+00,  3.505979221549678E+05,  5.201563590773488E-01,
2460320.841184028, A.D. 2024-Jan-11 08:11:18.3000, -2.053376195757290E+04,  3.495876956804683E+05,  2.484123234106008E+04, -2.298271721822387E-01,  4.997998235011917E-01,  8.810276249452736E-02,  1.171044106911778E+00,  3.510701912374968E+05,  5.173656743599792E-01,
