            JDUT ,            Calendar Date (UT ),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2460356.923722222, A.D. 2024-Feb-16 10:10:09.6000, -2.909963051606611E+05, -1.009764240125520E+05, -2.845359915530637E+04,  1.146997266205687E-01,  4.779592143244685E-01,  3.697298487239881E-02,  1.031811908237635E+00,  3.093294281642310E+05, -2.673260798939840E-01,
2460356.930815972, A.D. 2024-Feb-16 10:20:22.5000, -2.909251952414390E+05, -1.006845295915799E+05, -2.843085497937923E+04,  1.173426825006045E-01,  4.745495398949814E-01,  3.724469160601407E-02,  1.031264298136499E+00,  3.091652587859859E+05, -2.683892710342038E-01,
2460356.937909722, A.D. 2024-Feb-16 10:30:35.4000, -2.908524685842387E+05, -1.003947137043456E+05, -2.840794527883135E+04,  1.199754394311191E-01,  4.711765077166811E-01,  3.751313158697583E-02,  1.030714502716187E+00,  3.090004342655333E+05, -2.694638747408949E-01,
2460356.945003472, A.D. 2024-Feb-16 10:40:48.3000, -2.907781314148821E+05, -1.001069540507571E+05, -2.838487203618224E+04,  1.225980790828803E-01,  4.678396049122567E-01,  3.777836855384120E-02,  1.030162498940928E+00,  3.088349476969232E+05, -2.705496025080146E-01,
2460356.952097222, A.D. 2024-Feb-16 10:51:01.2000, -2.907021899095523E+05, -9.982122864176736E+04, -2.836163719543080E+04,  1.252106819373203E-01,  4.645383289636096E-01,  3.804046469427391E-02,  1.029608264357878E+00,  3.086687923489621E+05, -2.716461726107991E-01,
2460356.959190972, A.D. 2024-Feb-16 11:01:14.1000, -2.906246501954203E+05, -9.953751579302947E+04, -2.833824266291537E+04,  1.278133273109829E-01,  4.612721874538137E-01,  3.829948068745820E-02,  1.029051777083038E+00,  3.085019616609921E+05, -2.727533099244496E-01,
2460356.966284722, A.D. 2024-Feb-16 11:11:27.0000, -2.905455183514105E+05, -9.925579411900957E+04, -2.831469030824281E+04,  1.304060933741219E-01,  4.580406978042855E-01,  3.855547574871970E-02,  1.028493015788380E+00,  3.083344492390312E+05, -2.738707457401383E-01,
2460356.973378472, A.D. 2024-Feb-16 11:21:39.9000, -2.904648004088664E+05, -9.897604252679409E+04, -2.829098196519143E+04,  1.329890571718328E-01,  4.548433870065496E-01,  3.880850767503716E-02,  1.027931959688558E+00,  3.081662488517896E+05, -2.749982175850124E-01,
2460356.980472222, A.D. 2024-Feb-16 11:31:52.8000, -2.903825023522999E+05, -9.869824021080327E+04, -2.826711943252450E+04,  1.355622946422558E-01,  4.516797913984075E-01,  3.905863288174752E-02,  1.027368588529071E+00,  3.079973544271209E+05, -2.761354690574381E-01,
2460356.987565972, A.D. 2024-Feb-16 11:42:05.7000, -2.902986301199697E+05, -9.842236664685731E+04, -2.824310447478731E+04,  1.381258806391548E-01,  4.485494564224352E-01,  3.930590644245266E-02,  1.026802882573414E+00,  3.078277600481690E+05, -2.772822496635539E-01,
